,의원,주광덕,검찰청,수사,윤석열,총장,검찰총장,국정감사,오전,국회,17일,법제사법위원회,검찰,서울,자유한국당,서초구,조국,장관,여상규,민주당
의원,0.0,0.465274453163147,0.7824225574731827,0.7128637135028839,0.633895993232727,0.65231853723526,0.7160458564758301,0.7311906218528748,0.7604091018438339,0.689749538898468,0.8031098246574402,0.8051014989614487,0.6040759384632111,0.7228704988956451,0.5956306457519531,0.7625802606344223,0.7708619982004166,0.6932220160961151,0.7905786633491516,0.6878983080387115
주광덕,0.465274453163147,0.0,0.8587260395288467,0.892223984003067,0.6042873561382294,0.9271361082792282,0.8024834394454956,0.7976243644952774,0.6806536912918091,0.9196887016296387,0.82558374106884,0.8396903276443481,0.8864258453249931,0.8224574476480484,0.5086549520492554,0.8746672868728638,0.7859275490045547,0.8527482748031616,0.6778034567832947,0.8943361341953278
검찰청,0.7824225574731827,0.8587260395288467,0.0,0.7428194582462311,0.429521381855011,0.6590532660484314,0.3848899006843567,0.28644949197769165,0.3978748321533203,0.3348711133003235,0.2249772548675537,0.23249542713165283,0.801446720957756,0.3472058176994324,0.7227950692176819,0.3068632483482361,0.6195788085460663,0.7869136035442352,0.48912113904953003,0.6625953614711761
수사,0.7128637135028839,0.892223984003067,0.7428194582462311,0.0,0.7159973978996277,0.4736143946647644,0.7597367912530899,0.7214524447917938,0.820579394698143,0.7179861068725586,0.7640630751848221,0.8011505156755447,0.624699741601944,0.9201736375689507,0.8381542414426804,0.817348375916481,0.5757990479469299,0.3925856351852417,0.9425023794174194,0.7651310116052628
윤석열,0.633895993232727,0.6042873561382294,0.429521381855011,0.7159973978996277,0.0,0.6552398204803467,0.42693185806274414,0.5426730215549469,0.4877127408981323,0.5214344561100006,0.42877304553985596,0.48810064792633057,0.8298372179269791,0.6371671557426453,0.7186843752861023,0.5803059339523315,0.5663232803344727,0.7678312957286835,0.6210691332817078,0.7489912509918213
총장,0.65231853723526,0.9271361082792282,0.6590532660484314,0.4736143946647644,0.6552398204803467,0.0,0.4686765670776367,0.6369287967681885,0.8533064723014832,0.6341633796691895,0.751012772321701,0.7400004863739014,0.6491409838199615,0.8064450472593307,0.8932561203837395,0.7882694154977798,0.8259178698062897,0.514367550611496,0.9107176214456558,0.68187016248703
검찰총장,0.7160458564758301,0.8024834394454956,0.3848899006843567,0.7597367912530899,0.42693185806274414,0.4686765670776367,0.0,0.5864857733249664,0.6212711334228516,0.3543251156806946,0.4646967053413391,0.4891601800918579,0.8452303111553192,0.663767546415329,0.8495402187108994,0.6007091999053955,0.6517728567123413,0.6951100528240204,0.6058017313480377,0.6978927254676819
국정감사,0.7311906218528748,0.7976243644952774,0.28644949197769165,0.7214524447917938,0.5426730215549469,0.6369287967681885,0.5864857733249664,0.0,0.4773063659667969,0.43360012769699097,0.38158494234085083,0.37011951208114624,0.8074167370796204,0.4619860053062439,0.6818497776985168,0.44240283966064453,0.651717871427536,0.7885255664587021,0.6390610933303833,0.7878389656543732
오전,0.7604091018438339,0.6806536912918091,0.3978748321533203,0.820579394698143,0.4877127408981323,0.8533064723014832,0.6212711334228516,0.4773063659667969,0.0,0.5197995603084564,0.4181748628616333,0.41992902755737305,0.9466833248734474,0.5794357657432556,0.6498742699623108,0.5342949330806732,0.5215735733509064,0.8358701318502426,0.3459509015083313,0.756362795829773
국회,0.689749538898468,0.9196887016296387,0.3348711133003235,0.7179861068725586,0.5214344561100006,0.6341633796691895,0.3543251156806946,0.43360012769699097,0.5197995603084564,0.0,0.4029630422592163,0.3971126675605774,0.818849116563797,0.5609931647777557,0.785746768116951,0.5059472620487213,0.6516659557819366,0.6996666789054871,0.5920780897140503,0.5632429420948029
17일,0.8031098246574402,0.82558374106884,0.2249772548675537,0.7640630751848221,0.42877304553985596,0.751012772321701,0.4646967053413391,0.38158494234085083,0.4181748628616333,0.4029630422592163,0.0,0.2675662636756897,0.8533839732408524,0.3826568126678467,0.7355583012104034,0.3302462697029114,0.62139493227005,0.7379020154476166,0.487689733505249,0.6878675222396851
법제사법위원회,0.8051014989614487,0.8396903276443481,0.23249542713165283,0.8011505156755447,0.48810064792633057,0.7400004863739014,0.4891601800918579,0.37011951208114624,0.41992902755737305,0.3971126675605774,0.2675662636756897,0.0,0.8697657585144043,0.3645526170730591,0.6908556818962097,0.29384541511535645,0.5894007384777069,0.7335681915283203,0.502619743347168,0.6848637759685516
검찰,0.6040759384632111,0.8864258453249931,0.801446720957756,0.624699741601944,0.8298372179269791,0.6491409838199615,0.8452303111553192,0.8074167370796204,0.9466833248734474,0.818849116563797,0.8533839732408524,0.8697657585144043,0.0,0.863727793097496,0.6776023209095001,0.8708810210227966,0.8449300080537796,0.6421027183532715,1.0539309158921242,0.8615055531263351
서울,0.7228704988956451,0.8224574476480484,0.3472058176994324,0.9201736375689507,0.6371671557426453,0.8064450472593307,0.663767546415329,0.4619860053062439,0.5794357657432556,0.5609931647777557,0.3826568126678467,0.3645526170730591,0.863727793097496,0.0,0.6597309112548828,0.3497743010520935,0.7731252461671829,0.7799132466316223,0.5789808332920074,0.767909049987793
자유한국당,0.5956306457519531,0.5086549520492554,0.7227950692176819,0.8381542414426804,0.7186843752861023,0.8932561203837395,0.8495402187108994,0.6818497776985168,0.6498742699623108,0.785746768116951,0.7355583012104034,0.6908556818962097,0.6776023209095001,0.6597309112548828,0.0,0.7736523449420929,0.6954476833343506,0.8570897728204727,0.717411607503891,0.8842333033680916
서초구,0.7625802606344223,0.8746672868728638,0.3068632483482361,0.817348375916481,0.5803059339523315,0.7882694154977798,0.6007091999053955,0.44240283966064453,0.5342949330806732,0.5059472620487213,0.3302462697029114,0.29384541511535645,0.8708810210227966,0.3497743010520935,0.7736523449420929,0.0,0.716127336025238,0.7627668380737305,0.542896032333374,0.7031038701534271
조국,0.7708619982004166,0.7859275490045547,0.6195788085460663,0.5757990479469299,0.5663232803344727,0.8259178698062897,0.6517728567123413,0.651717871427536,0.5215735733509064,0.6516659557819366,0.62139493227005,0.5894007384777069,0.8449300080537796,0.7731252461671829,0.6954476833343506,0.716127336025238,0.0,0.6280849277973175,0.6840046942234039,0.775951087474823
장관,0.6932220160961151,0.8527482748031616,0.7869136035442352,0.3925856351852417,0.7678312957286835,0.514367550611496,0.6951100528240204,0.7885255664587021,0.8358701318502426,0.6996666789054871,0.7379020154476166,0.7335681915283203,0.6421027183532715,0.7799132466316223,0.8570897728204727,0.7627668380737305,0.6280849277973175,0.0,0.8895305544137955,0.7051162123680115
여상규,0.7905786633491516,0.6778034567832947,0.48912113904953003,0.9425023794174194,0.6210691332817078,0.9107176214456558,0.6058017313480377,0.6390610933303833,0.3459509015083313,0.5920780897140503,0.487689733505249,0.502619743347168,1.0539309158921242,0.5789808332920074,0.717411607503891,0.542896032333374,0.6840046942234039,0.8895305544137955,0.0,0.6300459206104279
민주당,0.6878983080387115,0.8943361341953278,0.6625953614711761,0.7651310116052628,0.7489912509918213,0.68187016248703,0.6978927254676819,0.7878389656543732,0.756362795829773,0.5632429420948029,0.6878675222396851,0.6848637759685516,0.8615055531263351,0.767909049987793,0.8842333033680916,0.7031038701534271,0.775951087474823,0.7051162123680115,0.6300459206104279,0.0
